external_gene_name	Y	A	CtrlUn	KUnInj	CtrlInj	KInj	N	KN
A1bg	115.103	97.8013	103.017	86.0836	119.21	197.231	45.1019	87.7807
A1cf	156.939	194.281	159.571	161.947	221.754	225.562	211.979	100.082
A2m	192.233	194.281	333.779	290.632	302.353	208.736	198.448	299.546
A2ml1	70.1519	79.2984	92.3617	60.3015	73.4236	89.6247	90.2037	94.5361
A3galt2	253.172	60.7954	71.7737	56.4988	80.3924	139.956	166.877	137.428
A4galt	93.5359	47.579	56.2845	21.9567	36.6288	154.997	126.285	37.6987
A4gnt	57.6487	52.8656	38.0221	26.4046	40.2584	89.3166	40.5917	28.6182
Aaas	139.034	47.579	52.6397	37.6546	32.8331	129.384	117.265	61.1546
Aacs	411.235	494.293	179.745	159.458	108.362	132.467	139.816	395.255
Aadac	86.0563	55.5089	76.0395	65.9943	80.8905	95.0547	36.0815	51.632
Aadacl2	77.2904	108.374	118.674	116.789	145.074	144.179	189.428	81.444
Aadacl3	40.4439	26.4328	76.7039	37.0095	36.7118	113.681	58.6324	20.27
Aadacl4	59.9272	29.0761	34.1174	15.7543	18.4804	116.894	31.5713	9.5459
Aadat	745.417	1502.7	1052.45	1263.76	1252.66	490.973	653.977	970.185
Aaed1	64.8517	42.2925	66.6603	50.8738	58.6559	110.763	45.1019	77.4207
Aagab	915.248	601.346	487.832	570.556	367.409	327.041	320.223	794.875
Aak1	1645.47	728.224	443.68	546.913	427.547	273.396	315.713	898.166
Aamdc	88.3298	42.2925	58.5186	53.9072	69.7108	159.358	49.6121	56.8256
Aamp	231.209	85.9066	99.1118	86.0496	56.9655	166.012	130.795	81.7809
Aanat	500.968	249.79	184.044	85.3482	95.2019	232.136	306.693	292.786
Aar2	184.239	75.3335	57.5412	45.8825	64.1004	107.946	126.285	65.9607
Aard	206.385	294.726	346.389	372.969	367.159	199.146	202.958	314.32
Aars	841.703	679.323	329.56	307.642	172.67	153.606	175.897	438.508
Aars2	1591.58	536.586	413.082	363.269	313.865	418.904	351.795	565.581
Aarsd1	68.5297	19.8246	42.8658	13.7852	27.4301	99.3298	27.0611	20.2388
Aasdh	512.085	284.153	271.625	286.32	310.111	498.06	473.57	207.784
Aasdhppt	90.565	92.5148	88.4134	76.7687	55.1506	88.9764	99.2241	39.3033
Aass	99.9113	97.8013	78.9765	76.0446	146.847	110.962	139.816	46.9
Aatf	153.269	121.591	143.562	169.043	123.462	206.676	261.591	221.706
Aatk	202.108	79.2984	80.5654	70.3856	114.097	193.561	220.999	251.823
Abat	1007.47	337.018	156.017	142.017	95.6581	123.522	135.306	190.7
Abca1	93.4204	85.9066	124.833	80.3907	119.21	106.647	36.0815	95.3539
Abca12	479.302	457.287	591.257	576.6	636.638	518.32	396.896	432.195
Abca13	160.275	148.024	166.066	178.584	249.391	172.471	207.469	147.8
Abca14	306.005	414.995	802.673	777.503	921.548	371.66	518.671	954.503
Abca15	293.586	340.983	272.029	264.476	342.902	219.795	293.162	378.113
Abca16	83.9674	66.082	63.6656	33.9197	45.9105	130.887	153.346	39.7376
Abca17	129.947	54.1872	77.3058	47.0485	58.8218	245.14	180.407	51.6125
Abca2	1395.9	412.352	247.715	246.141	204.228	216.949	252.57	385.663
Abca3	1164.51	441.428	408.099	385.464	290.355	318.459	428.468	723.191
Abca4	440.488	1108.86	488.135	404.647	517.594	439.907	279.632	414.018
Abca5	358.966	679.323	601.571	536.274	605.205	487.242	581.814	674.573
Abca6	166.731	126.877	98.8086	33.9648	165.411	283.505	220.999	69.0958
Abca7	1333.9	659.498	507.943	532.529	390.627	435.966	441.998	854.167
Abca8a	106.349	118.948	80.9457	45.8487	121.191	194.234	157.857	61.1857
Abca8b	298.112	194.281	158.189	171.488	139.796	180.819	175.897	173.643
Abca9	134.526	150.667	256.786	277.129	219.69	236.31	351.795	372.191
Abcb10	69.9735	39.6492	33.1352	6.27012	32.9161	101.689	112.755	13.0959
Abcb11	93.2259	50.2223	50.3817	30.1508	49.3742	111.97	67.6528	45.3148
Abcb1a	125.334	375.346	235.008	356.603	254.96	194.966	270.611	216.95
Abcb1b	496.414	601.346	356.143	367.377	429.528	352.959	509.651	312.223
Abcb4	599.8	618.527	633.753	812.849	563.547	317.886	423.958	458.828
Abcb5	154.623	92.5148	112.121	80.4246	97.3484	216.943	248.06	104.082
Abcb6	1866.51	722.937	465.053	551.451	430.845	355.799	248.06	809.94
Abcb7	104.921	122.912	130.388	92.3084	152.167	127.532	139.816	56.4069
Abcb8	563.882	551.124	426.279	353.139	245.471	437.087	387.876	650.594
Abcb9	464.45	297.369	173.538	137.546	139.007	424.585	487.1	271.303
Abcc1	932.927	598.703	695.117	763.435	693.396	420.163	441.998	577.444
Abcc10	334.619	121.591	114.712	118.034	108.072	338.929	414.937	143.905
Abcc12	353.722	358.164	223.93	209.334	260.903	288.336	103.734	295.933
Abcc2	34.9572	23.7895	50.0735	28.1929	29.3695	78.0297	117.265	38.1369
Abcc3	198.846	100.445	82.2024	58.9549	62.3685	132.578	302.182	119.201
Abcc4	107.74	47.579	76.9929	61.4788	47.9744	110.4	153.346	39.3267
Abcc5	609.19	325.123	360.823	377.519	333.662	455.226	694.569	420.265
Abcc6	99.0847	18.503	37.4107	12.5854	45.9105	107.03	45.1019	27.0098
Abcc8	445.368	99.123	179.056	102.359	84.1878	296.595	166.877	104.822
Abcc9	70.0365	37.0059	51.3494	48.3838	67.7301	111.21	76.6732	37.3658
Abcd1	1603.84	1308.42	709.629	780.92	622.244	329.735	252.57	939.788
Abcd2	54.2164	34.3626	25.0464	25.1708	43.8051	81.0746	31.5713	36.1642
Abcd3	104.806	72.6902	91.6586	54.62	69.9599	116.695	90.2037	81.8355
Abcd4	114.216	39.6492	44.811	39.5559	21.9441	131.19	94.7139	61.507
Abce1	163.678	149.345	206.717	162.015	176.299	180.283	270.611	128.681
Abcf1	160.84	130.842	320.196	332.678	266.348	207.365	148.836	358.203
Abcf2	102.528	30.3977	33.1352	3.74626	43.8882	115.539	99.2241	44.0821
Abcf3	1824.35	917.218	492.247	639.289	508.769	387.839	378.856	894.154
Abcg1	580.638	132.164	89.3812	82.2469	113.599	120.226	94.7139	106.931
Abcg2	799.852	1244.98	1096.12	938.443	1084.97	610.571	879.486	795.286
Abcg3	49.465	31.7194	64.6719	55.2764	69.6278	96.2937	31.5713	17.0529
Abcg4	145.935	52.8656	51.3687	33.331	86.086	139.645	126.285	65.1544
Abcg5	108.999	51.544	44.5028	23.2242	27.4301	105.365	135.306	46.489
Abcg8	302.527	329.088	161.805	172.71	75.4044	263.025	198.448	235.162
Abhd1	483.425	298.691	171.897	194.214	111.826	150.267	153.346	455.74
Abhd10	117.999	171.813	93.517	72.2419	91.8209	107.572	63.1426	59.5382
Abhd11	5235.95	1659.98	973.01	1083.48	851.215	588.399	563.773	2398.7
Abhd11os	295.682	158.597	109.757	82.3938	73.5066	137.338	117.265	173.221
Abhd12	461.548	557.732	1104.95	1358.53	1218.34	522.277	735.16	1007.06
Abhd12b	153.809	33.041	44.1754	32.6634	25.6568	107.295	130.795	49.6399
Abhd13	2110.18	1958.67	1074.69	1281.95	951.25	582.269	744.181	1486.38
Abhd14a	182.28	66.082	49.6691	52.7751	69.7939	113.589	94.7139	85.0018
Abhd14b	845.913	679.323	328.203	381.865	266.472	227.815	302.182	685.317
Abhd15	812.914	344.948	123.504	59.7468	152.665	237.875	90.2037	125.561
Abhd16a	1014.84	274.901	165.43	159.072	35.0215	113.154	166.877	315.118
Abhd16b	88.7912	25.1112	24.7238	26.2803	29.4524	119.036	94.7139	14.2779
Abhd17a	248.536	97.8013	65.3796	53.409	66.0812	130.631	121.775	81.8471
Abhd17b	3343.78	2737.12	1966.83	2144.77	2348.24	967.939	1199.71	1986.26
Abhd17c	162.228	50.2223	77.3299	60.3128	27.5961	98.9813	49.6121	66.763
Abhd18	2100.47	2163.52	1728.66	2133.47	1374.72	742.692	870.466	1737.94
Abhd2	3588.09	2846.81	1884.17	2221.15	2022.53	752.608	1077.93	2882.61
Abhd3	98.5542	67.4036	53.8868	76.5768	58.9049	86.6315	49.6121	38.9275
Abhd4	2973.61	2565.3	1285.58	1564.15	1322.12	712.154	924.588	1536.56
Abhd5	371.143	187.673	143.962	130.563	165.078	134.944	189.428	195.792
Abhd6	783.803	1296.53	901.549	1001.23	869.405	362.788	392.386	901.047
Abhd8	667.102	207.497	176.461	126.33	189.294	293.538	220.999	196.642
Abi1	129.928	60.7954	205.258	305.356	220.437	116.553	239.04	220.144
Abi2	1025.77	655.533	417.353	511.081	446.111	267.853	297.672	463.577
Abi3	199.822	66.082	53.6461	20.7118	77.2193	163.739	81.1834	65.17
Abi3bp	165.331	438.784	208.055	148.31	174.236	133.069	198.448	154.873
Abl1	2012.09	1130	500.004	609.071	477.544	362.393	243.55	805.645
Abl2	932.229	411.03	361.049	407.613	339.481	221.408	248.06	494.547
Ablim1	558.328	425.568	286.964	219.827	211.197	470.051	365.325	265.792
Ablim2	1899.01	1435.3	1244.69	1442.22	1063.03	573.235	640.446	2229.76
Ablim3	217.328	347.591	205.475	190.865	147.096	177.031	103.734	336.488
Abo	63.8798	21.1462	36.3995	10.6615	22.1101	143.206	166.877	28.5871
abParts	299.606	281.509	501.212	444.192	505.917	480.168	432.978	421.079
Abr	434.995	253.755	319.151	371.656	267.623	297.13	315.713	710.444
Abra	179.786	452.001	429.298	367.242	511.984	242.501	387.876	379.779
Abracl	108.014	39.6492	62.0719	41.4121	66.1642	84.1425	27.0611	47.6594
Abraxas1	98.404	58.1521	75.0814	80.4359	49.4986	86.4154	189.428	55.2249
Abraxas2	231.572	141.415	144.582	129.397	110.343	104.717	144.326	162.016
Abt1	137.76	77.9767	89.025	57.1213	128.367	109.282	85.6935	78.6612
Abtb1	231.605	75.3335	79.9876	79.8247	56.758	146.317	126.285	68.3286
Abtb2	1377.17	877.569	327.312	336.65	376.15	169.803	275.121	356.293
Acaa1a	1367.49	935.721	663.816	878.425	703.093	318.597	324.733	1171.92
Acaa1b	74.9827	51.544	41.9654	30.1508	53.2943	102.847	49.6121	60.3795
Acaa2	362.751	148.024	159.84	189.789	126.386	130.11	139.816	243.103
Acaca	849.537	496.937	297.235	349.36	295.634	338.347	369.835	474.293
Acacb	278.322	181.065	425.793	401.332	229.635	328.199	356.305	756.475
Acad10	90.4859	81.9417	59.1445	82.8581	71.4012	111.766	193.938	121.914
Acad11	799.455	557.732	268.428	286.001	253.187	193.621	175.897	404.813
Acad12	191.93	79.2984	113.388	60.3015	132.079	277.02	351.795	124.704
Acad8	154.624	75.3335	99.8053	80.9793	97.1822	182.06	63.1426	84.1956
Acad9	577.561	265.65	181.675	214.145	95.3259	142.949	184.918	210.95
Acadl	86.3973	79.2984	56.8623	45.1471	81.0566	102.233	36.0815	38.9236
Acadm	82.345	34.3626	41.2385	35.708	23.7589	90.2382	90.2037	46.0782
Acads	143.542	43.6141	37.7236	10.0277	29.3695	142.065	121.775	31.773
Acadsb	927.455	565.662	454.61	501.687	442.439	361.203	279.632	855.2
Acadvl	197.083	71.3685	60.1316	48.3612	56.758	137.738	45.1019	70.6888
Acan	319.231	171.813	163.437	123.727	136.166	302.566	234.53	174.375
Acap1	276.397	76.6551	66.3089	30.1733	42.0733	261.697	126.285	55.26
Acap2	109.15	80.62	65.6445	50.3191	44.2202	111.734	139.816	92.5945
Acap3	578.75	237.895	194.608	130.767	127.008	327.931	266.101	211.671
Acat1	68.8396	93.8364	58.196	47.0371	42.2393	108.467	117.265	62.3639
Acat2	95.5043	18.503	29.8564	22.5792	18.4804	88.4519	27.0611	27.816
Acat3	200.681	60.7954	40.2995	28.3285	49.5401	100.266	58.6324	62.3989
Acbd3	492.03	212.784	143.962	178.538	152.084	151.479	175.897	269.33
Acbd4	1469.8	852.458	463.497	545.08	461.127	465.3	500.631	1242.99
Acbd5	2856.95	1851.62	1655.26	1931.65	2106.84	641.118	1226.77	1810.28
Acbd6	375.745	321.158	301.279	263.31	166.81	167.006	288.652	381.772
Acbd7	745.426	383.276	555.022	512.823	392.94	225.729	284.142	442.45
Accn1/Mpped2	435.817	960.832	1113.49	1123.16	1051.36	379.656	599.855	1001
Accs	154.566	150.667	192.417	183.35	115.414	156.495	162.367	222.822
Accsl	110.444	80.62	60.0449	55.2538	55.1506	128.63	135.306	82.6144
Acd	234.452	77.9767	82.5202	59.7242	65.9982	132.254	90.2037	110.861
Ace	276.749	128.199	170.269	198.515	214.993	307.319	207.469	257.436
Ace2	130.577	150.667	158.892	119.755	161.49	216.235	166.877	96.0901
Ace3	56.8772	29.0761	32.1145	22.0019	25.5737	97.126	22.5509	13.1232
Acer1	94.5746	39.6492	40.6607	27.027	71.5672	99.8859	72.163	36.9626
Acer2	831.596	818.095	285.125	282.019	289.608	270.334	387.876	229.933
Acer3	60.1942	13.2164	23.756	30.8297	29.2864	58.5533	27.0611	33.7963
Ache	1681.01	627.779	427.425	422.054	476.465	445.198	441.998	954.197
Acin1	1560.84	1077.14	739.441	817.105	669.969	547.276	604.365	934.842
Ackr1	382.363	326.445	372.239	433.361	459.799	205.907	302.182	361.568
Ackr2	172.944	270.936	395.071	444.293	352.433	355.24	225.509	732.992
Ackr3	696.343	459.931	287.88	210.444	199.726	326.764	202.958	436.985
Ackr4	101.127	113.661	127.803	101.737	75.3629	137.251	85.6935	113.573
Acly	78.3206	51.544	29.9141	21.3681	47.6838	72.493	81.1834	36.951
Acmsd	60.6196	19.8246	14.6273	8.81657	40.2584	84.2694	27.0611	16.681
Acnat1	45.571	63.4387	55.5527	65.9943	71.4012	95.6856	112.755	40.9197
Acnat2	54.1384	43.6141	91.0375	71.529	108.902	92.4937	139.816	50.4695
Aco1	3293.23	2706.72	2965.82	3551.08	3722.7	1331.27	1713.87	2814.32
Aco2	707.548	469.182	283.397	304.428	224.232	220.645	175.897	638.84
Acod1	106.738	154.632	422.948	460.558	377.592	193.537	306.693	306.308
Acot1	498.707	150.667	35.7544	48.3725	54.8187	87.1183	94.7139	43.3072
Acot10	238.927	165.205	84.7879	59.7242	45.952	109.213	189.428	62.3366
Acot11	193.438	101.766	116.614	133.721	139.505	163.595	166.877	172.841
Acot12	185.255	186.351	270.825	267.509	278.304	149.86	166.877	263.761
Acot13	131.045	146.702	184.95	142.447	139.339	155.61	108.244	147.772
Acot2	309.813	163.883	70.4352	92.3876	55.3997	101.816	121.775	85.0252
Acot3	51.9977	21.1462	18.219	18.7991	27.5131	95.9736	18.0407	21.4559
Acot4	97.6248	37.0059	57.5316	45.1132	34.8139	99.1106	54.1222	90.1603
Acot5	60.5889	46.2574	39.6544	30.1733	25.8228	102.519	85.6935	44.4775
Acot6	152.562	99.123	50.3768	62.8932	40.5075	124.645	90.2037	86.587
Acot7	2138.03	804.879	396.159	373.285	395.947	534.728	473.57	811.033
Acot8	307.076	240.538	204.069	250.747	214.826	217.857	211.979	431.683
Acot9	468.717	573.592	561.859	502.637	407.418	209.137	342.774	369.436
Acox1	117.901	46.2574	25.682	10.0502	16.4995	82.8981	54.1222	14.2819
Acox2	115.699	194.281	259.145	251.845	245.928	177.394	270.611	238.34
Acox3	943.386	703.112	512.059	623.874	364.597	269.974	378.856	802.413
Acoxl	95.5751	34.3626	35.7063	9.46162	22.027	79.8878	76.6732	15.906
Acp1	68.2706	52.8656	103.951	69.7293	51.6041	74.8206	27.0611	67.127
Acp2	1040.97	598.703	626.506	802.277	532.072	287.661	279.632	864.108
Acp4	386.969	80.62	131.246	40.2123	109.845	150.949	257.081	88.9432
Acp5	96.8643	46.2574	45.148	31.3506	67.8545	123.799	135.306	54.4187
Acp6	903.274	1030.88	575.812	583.707	562.438	384.309	441.998	734.55
Acp7	79.0643	30.3977	25.3353	11.9404	21.8195	102.841	54.1222	18.2818
Acpp	296.24	236.574	191.512	158.868	245.387	415.755	302.182	214.861
Acr	122.053	67.4036	53.6653	55.1748	49.7477	102.461	162.367	60.7632
Acrbp	327.709	200.889	188.815	150.143	93.5113	172.246	257.081	192.262
Acrv1	55.4495	42.2925	59.0819	72.9095	113.474	142.428	126.285	50.0508
Acsbg1	101.172	140.094	105.593	109.919	81.0149	153.012	40.5917	123.542
Acsbg2	131.507	55.5089	76.3525	56.6004	84.3126	127.281	193.938	61.9608
Acsf2	243.779	170.492	146.186	151.942	144.618	93.5567	121.775	201.815
Acsf3	264.979	97.8013	36.0722	26.3932	40.5075	92.2721	108.244	50.0663
Acsl1	1549.49	3760.07	2493.73	3088.99	3554.68	1152.55	906.547	2705.7
Acsl3	0	0	0	0	0	0	0	0
Acsl4	53.9427	62.1171	74.6818	77.1766	84.3956	74.0457	117.265	71.088
Acsl5	141.575	68.7253	110.162	93.7341	69.8769	126.846	90.2037	117.233
Acsl6	993.328	779.767	767.343	855.381	705.488	462.259	586.324	1377.86
Acsm1	66.4244	39.6492	53.5931	59.7016	49.7892	121.831	81.1834	51.2407
Acsm2	115.644	85.9066	90.0504	47.7387	126.469	238.58	225.509	88.6531
Acsm3	116.653	77.9767	135.569	69.6842	110.26	170.524	139.816	81.8315
Acsm4	42.9483	27.7544	34.4833	9.45037	84.2296	77.2548	153.346	27.8042
Acsm5	145.197	126.877	53.3475	41.4912	95.4091	119.163	94.7139	51.2562
Acss1	122.047	77.9767	62.4426	75.9768	126.594	102.539	108.244	49.3225
Acss2	1846.31	1712.85	625.678	894.042	926.703	382.218	383.366	1285.14
Acss2os	51.4764	35.6843	38.624	16.9316	32.9991	89.1722	27.0611	25.4324
Acss3	231.179	707.077	1496.44	1901.36	1408.74	642.441	658.487	1415.05
Acta1	864.94	315.872	150.721	154.466	143.383	178.2	121.775	409.506
Acta2	224.762	237.895	382.364	408.937	499.903	253.108	266.101	270.822
Actb	1607.72	622.492	291.553	256.315	221.961	225.732	189.428	572.86
Actbl2	84.6235	55.5089	23.7319	10.7066	25.5737	71.4473	36.0815	14.6889
Actc1	209.05	165.205	385.451	394.472	342.778	230.286	329.244	381.435
Actg1	1120.18	157.275	81.562	78.4442	42.2808	95.0691	121.775	179.596
Actg2	166.226	76.6551	62.0526	20.157	56.841	173.513	99.2241	39.7415
Actl10	516.133	253.755	120.225	159.502	91.8209	183.544	108.244	213.781
Actl11	474.092	126.877	145.656	141.303	97.1822	132.737	135.306	320.602
Actl6a	1536.89	1870.12	1045.96	1234.27	1071.82	465.237	644.957	1322.6
Actl6b	413.283	162.562	89.3812	96.8126	86.4177	124.124	94.7139	153.346
Actl7a	30.0609	22.4679	14.3143	17.5541	11.055	13.4529	18.0407	19.4638
Actl7b	31.0994	14.538	22.1045	20.7456	3.67117	40.5748	27.0611	13.0998
Actl9	48.8088	9.25148	19.8416	18.8329	27.3471	101.87	45.1019	21.452
Actn1	628.321	371.381	126.224	116.166	133.978	160.404	189.428	191.037
Actn2	391.119	289.439	764.627	902.214	484.969	354.788	550.243	773.094
Actn3	93.137	46.2574	50.7235	20.723	40.4245	111.426	230.02	46.8844
Actn4	179.917	162.562	113.007	94.889	62.1195	130.649	275.121	163.276
Actr10	814.381	466.539	543.947	560.121	563.879	350.204	275.121	566.049
Actr1a	190	87.2282	101.052	97.3901	60.6367	178.184	94.7139	130.692
Actr1b	208.184	104.41	101.057	84.1483	110.177	154.576	144.326	71.4872
Actr2	280.146	259.041	430.71	463.082	475.812	302.388	243.55	464.793
Actr3	70.1519	51.544	46.1735	49.0288	38.5266	49.5367	63.1426	39.315
Actr3b	648.278	626.457	350.957	388.836	251.248	203.81	284.142	541.9
Actr5	409.322	364.773	212.538	185.183	218.083	143.727	211.979	270.586
Actr6	61.6219	128.199	67.6041	74.1094	62.3685	117.553	220.999	56.7983
Actr8	291.576	134.807	91.3793	60.8675	132.121	138.49	243.55	91.7962
Actrt1	78.6752	30.3977	63.68	49.6062	60.6367	100.554	45.1019	26.6261
Actrt2	76.0935	13.2164	32.153	28.9284	36.7948	151.972	90.2037	13.8982
Actrt3	144.745	51.544	46.8187	40.2123	55.1922	91.013	85.6935	40.1252
Acvr1	278.266	445.393	777.15	776.824	772.099	407.813	360.815	792.236
Acvr1b	745.138	318.515	143.292	125.696	144.907	157.716	103.734	212.106
Acvr1c	180.485	256.398	901.607	1301.84	799.457	325.295	613.385	983.254
Acvr2a	1394.2	913.253	840.195	1015.73	981.563	374.909	676.528	515.208
Acvr2b	1300.65	752.013	369.827	401.5	308.379	203.775	297.672	608.546
Acvrl1	97.3573	48.9007	31.5607	28.2946	25.6983	132.072	90.2037	42.9235
Acy1	332.281	187.673	103.354	89.8298	124.945	120.117	180.407	164.779
Acy3	152.771	134.807	51.672	47.7839	20.0877	156.454	153.346	110.453
Acyp1	897.306	662.142	364.314	396.056	303.225	299.87	261.591	604.664
Acyp2	238.858	68.7253	56.1594	60.8788	47.6008	77.707	81.1834	38.5634
Ada	150.581	55.5089	68.5237	38.2771	53.1283	106.825	103.734	86.9822
Adad1	110.474	43.6141	56.2508	47.1049	79.2001	112.869	58.6324	35.7572
Adad2	60.0538	39.6492	26.9579	20.723	111.992	102.804	94.7139	23.8434
Adal	1555.76	512.796	326.233	363.088	154.065	180.669	211.979	604.253
Adam10	1575.71	931.756	761.3	919.689	876.083	404.18	351.795	1048.33
Adam11	223.154	31.7194	43.2654	29.4944	67.9376	117.666	126.285	67.538
Adam12	30.2944	35.6843	29.8997	15.0302	25.8228	49.842	63.1426	11.1272
Adam15	846.957	506.188	333.75	367.062	326.029	438.029	482.59	567.201
Adam17	128.031	44.9358	82.2409	60.437	71.5257	78.482	90.2037	52.0468
Adam18	136.641	62.1171	57.1705	23.858	32.9161	117.106	144.326	43.6985
Adam19	741.621	720.294	521.155	617.299	611.396	399.845	414.937	573.6
Adam1a	0	0	0.327402	0	0	0	0	0
Adam1b	25.5294	30.3977	19.8416	8.7601	42.2808	78.894	45.1019	30.2073
Adam2	51.1664	27.7544	31.5463	9.46162	53.3359	87.9277	81.1834	27.4479
Adam20	57.8332	31.7194	36.4381	31.4409	33.1651	71.8448	45.1019	36.1253
Adam21	64.5927	44.9358	43.8239	24.4806	27.5131	109.588	63.1426	43.3032
Adam22	527.154	934.399	1367.38	1365.32	1022.97	640.755	829.874	1131.3
Adam23	658.366	1496.1	1573.72	1886.46	1341.05	668.174	1195.2	1659.22
Adam24	155.777	77.9767	135.964	98.68	110.26	211.498	117.265	94.5282
Adam25	51.2026	17.1813	26.6834	25.1256	43.8051	87.9654	81.1834	27.8082
Adam26a	54.5988	47.579	90.4403	82.9259	108.528	85.1191	117.265	79.4674
Adam26b	39.7447	83.2633	104.013	135.067	113.889	86.0781	189.428	136.305
Adam28	223.997	151.989	133.937	101.249	143.218	331.921	374.345	113.186
Adam29	59.2349	42.2925	96.247	55.2764	60.4707	79.7811	108.244	28.63
Adam3	115.488	68.7253	94.3115	33.3648	77.2193	215.783	81.1834	42.0744
Adam30	166.659	101.766	51.0124	58.4793	82.788	112.132	54.1222	59.9998
Adam32	178.264	153.31	105.597	61.5014	183.808	204.98	175.897	75.4676
Adam33	191.242	42.2925	54.9124	33.2858	102.876	168.734	99.2241	48.861
Adam34	66.215	220.714	216.462	212.968	187.022	132.89	275.121	231.612
Adam39	102.491	64.7603	52.4038	36.3757	71.7332	125.659	148.836	32.5636
Adam4	45.4194	42.2925	40.001	32.0183	40.5075	68.7049	90.2037	32.587
Adam5	155.777	88.5499	149.826	175.166	128.367	200.189	171.387	146.188
Adam6a	27.1693	26.4328	30.853	6.2927	18.3974	61.8574	9.02037	8.7436
Adam6b	47.8856	198.246	110.166	54.5974	29.3695	73.8094	45.1019	33.362
Adam7	67.8373	87.2282	76.0395	80.3568	111.951	122.105	144.326	127.577
Adam8	351.602	228.644	98.8277	84.737	123.089	226.96	90.2037	149.738
Adam9	118.384	339.661	557.424	651.162	346.698	235.19	175.897	727.794
Adamdec1	49.7025	33.041	24.3676	28.9509	27.4716	90.0595	67.6528	23.0254
Adamts1	121.311	104.41	159.595	119.901	188.837	143.692	162.367	84.9318
Adamts10	659.803	297.369	233.434	149.622	368.601	500.132	315.713	260.226
Adamts12	418.215	186.351	110.821	108.12	117.934	158.839	162.367	67.127
Adamts13	83.4266	10.5731	42.2207	8.14889	56.9655	99.491	207.469	9.92563
Adamts14	260.168	166.527	127.008	118.849	62.5345	183.685	135.306	247.831
Adamts15	88.0558	46.2574	52.009	20.1456	33.1651	128.148	45.1019	42.0939
Adamts16	231.987	195.603	171.569	125.029	154.19	212.579	148.836	101.671
Adamts17	1513.15	1241.02	743.953	879.862	825.89	343.104	329.244	800.03
Adamts18	401.969	294.726	227.416	226.697	247.742	336.524	324.733	242.449
Adamts19	445.024	239.217	157.25	170.742	207.649	152.689	162.367	162.947
Adamts2	763.883	403.1	312.329	404.964	349.053	272.486	342.774	407.89
Adamts20	170.523	178.421	138.728	99.269	123.13	271.305	293.162	181.115
Adamts3	155.022	134.807	137.789	104.26	124.737	120.048	180.407	59.9959
Adamts4	1381.61	1248.95	336.359	357.248	331.971	275.295	279.632	471.932
Adamts5	78.6027	67.4036	57.5027	65.904	93.3037	88.0574	225.509	49.2523
Adamts6	1147.24	2077.62	555.796	587.205	690.223	243.982	392.386	526.883
Adamts7	680.459	396.492	345.247	297.004	387.247	411.307	347.284	288.394
Adamts8	326.385	388.562	231.017	278.928	290.272	177.809	130.795	380.547
Adamts9	185.68	142.737	92.9826	43.3587	106.755	248.786	324.733	84.2424
Adamtsl1	1155.49	1382.44	1372.21	1643.05	1480.84	721.17	1258.34	1391.18
Adamtsl2	528.019	220.714	214.166	175.347	192.094	287.786	225.509	515.689
Adamtsl3	509.893	218.071	139.075	71.6645	101.02	135.788	180.407	157.315
Adamtsl4	236.103	116.304	102.352	71.0985	123.047	181.464	157.857	108.779
Adamtsl5	469.37	133.486	109.579	79.1232	80.932	161.072	144.326	187.937
Adap1	175.462	89.8715	69.9007	48.3387	71.8162	152.937	180.407	107.675
Adap2	110.218	133.486	20.1739	16.9993	29.2864	91.8944	31.5713	31.7807
Adar	750.034	511.475	342.257	422.88	264.159	285.394	383.366	671.83
Adarb1	794.407	290.761	274.032	295.136	297.116	395.757	374.345	527.13
Adarb2	502.631	888.142	379.168	464.247	426.396	241.475	302.182	311.913
Adat1	143.542	177.1	407.257	389.65	345.049	315.671	432.978	461.577
Adat2	213.348	109.696	117.35	120.694	123.005	122.787	112.755	129.507
Adat3	402.625	309.264	44.8014	52.73	57.09	105.457	193.938	92.9742
Adck1	1026.62	1034.84	865.462	1000.9	944.934	371.26	369.835	841.117
Adck2	348.906	323.802	293.358	342.988	234.623	174.343	270.611	335.206
Adck5	281.219	146.702	172.166	160.759	115.829	163.002	157.857	297.154
Adcy1	626.964	450.679	629.52	686.575	711.793	462.114	653.977	648.284
Adcy10	207.406	132.164	139.18	115.511	166.685	198.202	157.857	136.25
Adcy2	250.605	239.217	204.055	146.476	177.865	152.963	153.346	185.193
Adcy3	1326.49	289.439	332.749	388.361	222.002	220.562	302.182	406.05
Adcy4	137.6	42.2925	56.8576	29.5509	44.0541	134.045	130.795	41.3188
Adcy5	1364.51	500.901	454.552	577.38	468.386	250.273	396.896	656.21
Adcy6	114.192	47.579	34.4448	13.174	102.627	145.435	148.836	21.045
Adcy7	543.288	334.375	289.719	310.924	361.175	729.182	496.121	339.616
Adcy8	226.312	229.965	108.828	91.6295	163.015	203.214	90.2037	120.34
Adcy9	128.493	133.486	134.558	109.93	106.132	138.023	198.448	111.268
Adcyap1	183.454	381.954	598.441	605.573	766.042	271.942	401.407	548.288
Adcyap1r1	773.428	333.053	155.054	119.845	161.739	138.173	243.55	130.25
Add1	1851.19	934.399	405.798	476.572	460.795	391.059	261.591	755.85
Add2	663.798	426.89	363.014	349.472	390.669	425.057	446.508	631.998
Add3	2709.89	3995.32	3514.15	4695.57	5498.64	1751.66	2146.85	3998.51
