external_gene_name	Y	A	CtrlUn	KUnInj	CtrlInj	KInj	N	KN
Atg4a	1407.54	1589.93	1363.45	1450.82	1269.68	565.264	617.896	1179.72
Atg4b	2441.38	1262.17	1089.78	1543.46	1123.09	565.491	730.65	858.526
Atg4c	1435.14	734.832	684.88	744.953	736.175	350.953	324.733	717.012
Atg4d	748.549	559.054	297.085	409.639	363.779	263.118	166.877	461.24
Atg5	805.342	1004.45	957.589	1078.58	959.868	461.783	748.691	918.809
Atg7	241.987	74.0118	49.4331	40.1898	9.15719	88.7228	63.1426	88.9939
Atg9a	676.475	203.533	180.713	208.509	156.046	226.853	248.06	403.693
Atg9b	333.785	203.533	222.457	233.589	172.712	191.999	126.285	388.004
Atic	712.352	941.007	970.039	1202.45	1130.51	437.997	703.589	728.57
Atl1	1111.74	713.685	598.557	759.881	687.827	465.6	739.671	623.709
Atl2	171.367	226	101.678	74.0641	95.5335	153.519	216.489	95.7802
Atl3	1442.85	618.527	1172.76	1243.6	1162.61	525.25	717.12	1067.65
Atm	99.5496	72.6902	65.6589	30.8184	49.4986	171.315	239.04	54.4421
Atmin	282.865	263.006	125.468	121.871	86.5839	130.885	234.53	154.97
Atn1	579.484	142.737	152.089	196.376	144.95	138.942	180.407	245.498
Atoh1	390.065	292.082	165.478	150.912	159.8	142.25	162.367	156.078
Atoh7	175.757	314.55	123.133	102.993	124.696	110.887	189.428	124.297
Atoh8	159.678	75.3335	65.0041	49.0175	25.7398	158.618	45.1019	30.1839
Atox1	226.233	380.632	163.991	170.31	168.75	144.047	103.734	250.234
Atp10a	262.048	74.0118	70.8299	40.8348	47.5178	98.9323	40.5917	28.5988
Atp10b	212.535	200.889	143.691	128.809	132.329	117.058	275.121	133.087
Atp10d	668.742	992.551	540.38	604.136	433.075	358.438	365.325	461.925
Atp11a	527.706	303.977	241.783	207.332	121.274	156.307	135.306	289.294
Atp11b	932.762	1059.96	664.904	639.946	692.909	423.639	446.508	617.697
Atp11c	188.5	145.38	143.287	127.586	155.963	221.973	230.02	88.9939
Atp12a	162.455	187.673	455.698	430.045	350.992	198.097	261.591	525.898
Atp13a1	364.276	144.059	185.262	226.108	122.881	147.386	166.877	230.302
