external_gene_name	E11mean	E12mean	E13mean	E14mean	E15mean	E16mean	E18mean	P0mean	CtrlUnInjmean	YoungFC	AdultFC	UnInjCST_FC	InjCST_FC
Pom121	10.86	22.77	20.83	13.385000000000002	8.89	11.135	9.775	6.0	10.700000000000001	134.257			70.8925
Pom121l12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.8895			63.7426
Pom121l2	0.025	0.07	0.055	0.05500000000000001	0.06	0.025	0.015	0.01	0.025	122.595			82.5683
Pomc	3.89	5.15	6.46	14.745000000000001	8.595	6.345000000000001	4.51	3.54	1.07	123.999			43.8769
Pomgnt1	28.655	45.17	48.769999999999996	44.55	46.76	53.72	49.985	46.935	30.055	730.796			223.56400000000002
Pomgnt2	6.9350000000000005	10.445	11.72	13.625	15.285	20.884999999999998	20.61	26.875	11.135	371.68300000000005			344.202
Pomk	9.73	15.725	15.96	16.865000000000002	21.380000000000003	20.725	22.245	23.07	12.135	92.4783			51.6961
Pomp	244.675	308.19	345.185	386.82000000000005	388.19	337.78	344.29	399.85	158.85999999999999	574.601			201.122
Pomt1	15.280000000000001	23.48	22.990000000000002	20.92	20.15	26.32	23.799999999999997	15.295000000000002	5.385	662.8689999999999			199.63400000000001
Pomt2	8.075	12.9	11.9	8.11	9.61	9.195	9.985	7.96	5.22	297.56			106.555
Pon1	0.155	0.085	0.14	0.13	0.255	0.62	0.45499999999999996	0.75	0.53	201.233			163.466
Pon2	18.29	35.085	28.805	22.145	11.265	17.515	16.235	17.880000000000003	43.21	275.856			211.787
Pon3	2.4450000000000003	3.665	2.89	2.65	3.755	2.52	3.51	3.2399999999999998	3.355	89.2096			63.3623
Pop1	11.864999999999998	15.315	14.370000000000001	12.34	8.84	10.0	10.26	4.0	2.89	729.065			483.994
Pop4	76.81	119.88999999999999	112.25999999999999	116.79	137.19	105.92	123.86500000000001	85.50999999999999	24.84	142.914			126.416
Pop5	64.16	81.03	77.795	89.36	87.68	81.465	86.49000000000001	78.11	67.2	359.30300000000005			104.65899999999999
Pop7	31.4	46.92	51.099999999999994	65.985	75.44	64.265	62.94	88.7	11.290000000000001	2270.5			472.796
Popdc2	0.37	0.7949999999999999	0.415	0.215	0.28500000000000003	0.265	0.345	0.335	0.16499999999999998	86.4335			66.3041
