external_gene_name	E11	E12	E13	E14	E16	E18	P0	Adult
Mitd1	192	8	37	43	70	49	24	25
Lyg2	38	16	28	21	18	20	11	4
Lyg1	51	9	22	19	34	22	8	9
Eif5b	168	18	54	41	77	56	33	42
Txndc9	49	6	19	15	18	21	6	4
Rev1	754	118	314	202	367	206	90	73
Aff3	1162	152	503	323	656	389	162	52
Lonrf2	104	30	58	64	148	93	48	45
Chst10	169	29	60	52	128	74	31	33
Nms	23	7	20	13	16	17	4	4
Pdcl3	351	42	79	69	133	85	45	121
Npas2	195	15	36	23	52	34	38	117
Rpl31	266	38	75	81	176	111	76	93
Tbc1d8	252	26	70	63	110	66	41	28
Cnot11	159	32	99	63	184	115	53	18
Rnf149	371	70	158	90	203	122	48	55
Creg2	59	7	27	31	37	17	9	27
Rfx8	386	21	46	49	48	29	18	12
Il1r2	34	12	37	37	66	50	13	5
Il1r1	44	20	45	16	27	25	11	14
Il1r1	128	26	47	32	44	37	12	31
Il1rl2	60	14	24	14	32	20	6	14
Il1rl1	30	14	18	8	14	16	4	0
Il1rl1	34	16	37	26	24	31	11	8
Il18r1	13	6	14	8	6	9	7	1
Il18r1	24	8	8	9	12	9	3	2
Il18rap	115	54	83	57	41	24	20	4
Slc9a4	30	16	28	12	28	15	7	12
Slc9a2	98	15	36	23	32	20	13	45
Mfsd9	141	22	57	33	73	74	31	29
Tmem182	45	17	25	16	24	20	8	5
Pou3f3	1069	239	652	493	817	547	212	103
Gpr45	250	41	89	100	209	118	64	38
Tgfbrap1	619	62	171	140	293	152	85	81
Fhl2	164	11	49	37	49	43	30	92
Nck2	432	47	86	67	174	132	60	59
Ecrg4	60	13	42	54	83	64	19	11
Uxs1	557	76	220	144	246	145	54	102
Uxs1	235	53	112	75	157	104	40	42
Tpp2	412	120	254	211	572	325	124	161
Mettl21c	27	16	26	17	28	27	10	3
Tex30	429	55	112	76	151	84	32	19
Bivm	391	44	91	51	69	53	15	34
Poglut2	0	0	0	0	0	0	0	0
Bivm	230	42	99	63	153	91	37	30
Ercc5	592	100	213	137	277	161	70	45
Mettl21e	22	7	14	14	24	14	13	15
Gulp1	178	23	28	22	31	31	11	28
Col3a1	103	29	23	12	19	20	5	3
Col5a2	118	37	66	30	41	31	16	6
Wdr75	274	44	85	60	202	137	73	89
Slc40a1	228	37	67	35	52	60	13	94
Slc39a10	525	97	218	163	315	207	129	202
Tmeff2	219	42	162	148	410	298	145	299
Cavin2	52	16	44	29	45	28	10	49
Nabp1	288	35	78	59	153	102	49	85
Myo1b	342	43	115	91	134	74	35	24
Stat4	39	16	20	17	19	20	5	3
Stat4	69	13	43	34	30	28	11	3
Stat1	247	34	79	56	100	62	35	103
