external_gene_name	E11	E12	E13	E14	E16	E18	P0	Adult
Tsga10	18	11	20	24	22	8	9	0
Tsga10	172	63	122	111	213	142	77	36
Tsga10	23	19	23	11	23	10	5	21
Lipt1	477	178	298	291	388	354	143	93
Mrpl30	1069	390	647	622	807	683	265	299
Mitd1	1150	481	771	859	995	856	328	278
Lyg2	22	14	21	20	19	14	9	6
Lyg1	24	7	23	20	20	10	4	3
Eif5b	222	81	165	121	163	155	59	174
Txndc9	179	76	117	131	160	129	59	32
Rev1	856	272	630	395	743	632	350	171
Aff3	1711	708	1307	1010	1377	1168	599	153
Lonrf2	295	98	164	148	177	158	57	77
Chst10	494	160	301	270	379	296	126	136
Nms	17	8	15	15	18	7	4	3
Pdcl3	850	352	564	536	850	705	328	406
Npas2	1944	646	1378	1030	1323	1050	608	312
Rpl31	647	226	391	395	601	524	242	163
Tbc1d8	476	139	299	223	353	334	196	139
Cnot11	552	188	352	363	632	493	217	191
Rnf149	606	223	391	289	441	361	196	104
Creg2	261	67	147	139	180	145	78	176
Rfx8	729	188	384	315	388	291	148	52
Il1r2	35	17	23	34	43	29	13	32
Il1r1	16	9	25	20	15	13	5	7
Il1r1	247	56	148	142	142	123	41	54
Il1rl2	32	16	22	32	34	27	10	17
Il1rl1	8	11	25	14	4	4	8	1
Il1rl1	17	8	24	29	19	12	9	4
Il18r1	3	2	9	7	7	1	3	0
Il18r1	16	2	13	7	10	4	3	2
Il18rap	51	19	37	53	41	41	13	4
Slc9a4	26	16	27	32	24	24	17	19
Slc9a2	1419	532	1177	869	1056	882	436	172
Mfsd9	775	257	507	474	644	544	237	208
Tmem182	12	14	17	17	24	4	11	4
Pou3f3	1318	556	999	720	1060	883	422	406
Gpr45	436	125	233	209	268	212	88	77
Tgfbrap1	1562	702	1111	1044	1204	1085	491	367
Fhl2	433	121	328	273	393	343	178	171
Nck2	952	355	623	490	706	600	275	106
Ecrg4	22	12	20	27	22	16	4	8
Uxs1	1895	754	1367	1301	1561	1288	533	420
Uxs1	419	113	267	292	448	372	201	167
Tpp2	1178	434	704	663	1069	853	366	383
Mettl21c	21	8	30	12	11	14	7	1
Tex30	684	169	326	299	499	390	197	141
Bivm	1037	469	768	709	811	728	269	322
Poglut2	0	0	0	0	0	0	0	0
Bivm	399	106	231	220	327	337	124	128
Ercc5	758	228	486	470	730	574	234	275
Mettl21e	12	5	12	24	13	6	5	3
Gulp1	359	121	221	196	256	229	133	54
Col3a1	52	18	14	9	19	7	13	4
Col5a2	99	30	72	65	60	48	30	7
Wdr75	445	165	349	323	495	401	182	197
Slc40a1	1278	458	901	762	1005	914	385	254
Slc39a10	460	125	235	223	406	347	184	230
Tmeff2	1353	486	1007	1043	1682	1430	601	563
Cavin2	25	19	20	28	21	16	16	17
Nabp1	775	326	530	539	825	751	359	503
Myo1b	647	240	521	397	542	455	178	76
Stat4	9	9	21	19	15	5	10	3
Stat4	20	11	28	20	15	12	7	1
Stat1	746	271	505	420	710	628	270	196
Gls	712	256	493	502	896	720	345	309
Nab1	1067	543	919	547	731	615	371	114
Nemp2	344	164	224	199	334	272	145	87
Mfsd6	768	307	587	567	808	670	313	178
Inpp1	518	156	359	298	456	416	165	137
Hibch	397	107	260	266	463	350	172	98
Mstn	24	9	22	16	21	11	13	6
Ormdl1	865	313	513	489	622	478	212	233
Pms1	1217	500	797	774	963	834	370	156
Osgepl1	518	184	338	341	527	465	238	172
Asnsd1	304	102	209	130	193	158	63	25
Dnah7a	369	130	289	307	483	394	147	96
Stk17b	384	139	296	245	399	353	141	52
Hecw2	665	269	545	480	732	579	312	190
Ccdc150	170	58	86	115	142	166	109	109
Gtf3c3	247	101	169	164	226	189	91	70
Pgap1	823	215	439	326	483	413	239	257
Ankrd44	918	286	575	504	750	630	275	105
Sf3b1	470	157	301	301	441	331	157	149
Coq10b	882	318	547	464	760	658	291	195
Hspe1	1747	809	1423	1263	1472	1223	499	401
Hspd1	1246	515	1027	836	1121	946	444	360
Mob4	604	211	367	315	550	488	256	236
Rftn2	248	64	126	86	111	104	43	36
Mars2	555	191	297	274	336	297	141	45
Boll	530	173	455	332	398	290	139	17
Boll	208	66	164	158	175	130	63	26
Plcl1	759	291	541	554	839	689	361	202
Hsfy2	9	5	19	13	13	10	5	2
Satb2	1721	571	966	883	1127	913	312	326
Maip1	1104	401	655	597	787	700	306	228
Tyw5	2046	790	1357	1309	1638	1439	634	505
Spats2l	1181	385	763	661	909	772	385	250
Spats2l	21	10	33	29	16	15	3	1
Kctd18	220	125	166	161	255	220	114	49
Sgo2a	401	158	270	243	435	391	184	250
Aox1	76	19	43	30	33	25	17	42
Aox3	54	16	40	30	40	24	21	33
Aox4	12	8	21	20	34	27	14	38
Aox2	23	9	37	14	17	9	6	1
Bzw1	1981	811	1410	1322	1684	1396	576	528
Clk1	274	108	150	162	211	201	75	124
Nif3l1	886	285	501	447	522	423	209	184
Ppil3	1664	613	1083	1100	1291	1106	376	287
Orc2	41	16	25	28	30	11	10	11
Orc2	620	241	385	409	601	550	196	183
Ndufb3	1226	422	880	741	831	718	337	411
Fam126b	0	0	0	0	0	0	0	0
Fam126b	145	37	46	70	65	17	23	11
Flacc1	16	5	18	18	5	8	3	0
Cflar	348	85	177	191	265	165	85	57
Cflar	808	261	429	314	452	449	196	100
Cflar	22	11	15	20	11	7	7	0
Casp8	131	36	73	54	51	36	20	15
Casp8	16	13	23	18	22	11	8	16
Stradb	1362	564	972	975	1314	1074	433	488
Trak2	1589	650	1287	1099	1516	1267	595	450
C2cd6	26	11	25	12	19	9	8	1
Tmem237	553	203	386	272	452	380	197	175
Tmem237	50	13	13	21	43	15	15	9
Mpp4	33	9	31	29	20	15	5	1
Mpp4	38	16	39	20	28	16	7	7
Als2	362	151	292	202	276	257	100	52
